name,"['Iphone 11 Simple', 'Iphone 11 Simple', 'Iphone 11 Simple', 'Iphone 11 Simple', 'Iphone 11 Simple', 'Iphone X Simple', 'Iphone X Simple', 'Iphone X Simple']"
prix,"['500', '550', '600', '600', '550', '370', '350', '350']"
batterie,"['84', '84', '88', '91', '90', '94', '80', '81']"
couleur,"['rouge', 'noir', 'mauve', 'noir', 'noir', 'gris', 'argent', 'gris']"
memoire,"['64', '64', '128', '128', '64', '64', '64', '64']"
link,"['https://mobile.facebook.com/story.php?story_fbid=163074876142690&id=101047079012137', 'https://mobile.facebook.com/story.php?story_fbid=163312619452249&id=101047079012137', 'https://mobile.facebook.com/story.php?story_fbid=163299339453577&id=101047079012137', 'https://mobile.facebook.com/story.php?story_fbid=163301649453346&id=101047079012137', 'https://mobile.facebook.com/story.php?story_fbid=163307819452729&id=101047079012137', 'https://mobile.facebook.com/story.php?story_fbid=163202182796626&id=101047079012137', 'https://mobile.facebook.com/story.php?story_fbid=163170099466501&id=101047079012137', 'https://mobile.facebook.com/story.php?story_fbid=163190889464422&id=101047079012137']"
